SteamAppid,Description,Type,Name,Publishers,Developers,isFree,InterfaceLanguages,FullAudioLanguages,SubtitlesLanguages,Windows,Mac,Linux,Date,ComingSoon,Currency,DiscountPercent,InitialFormatted,FinalFormatted
24677,"The Coronation Scot is a powerful steam passenger locomotive built for British railways in the 1930’s. The Coronation Scot celebrates the halcyon days of LMS passenger service by recreating the sights and sounds of this historic train, and is now available as part of your Trainz collection.",dlc,Trainz Simulator DLC: Coronation Scot,N3V Games,N3V Games,false,Inglés<strong>*</strong>,No hay soporte para este tipo de idioma,Inglés<strong>*</strong>,true,false,false,6 MAY 2013,false,ARS,0,ARS 199.99,"ARS$ 199,99"
24670,Released 2011. See also Trainz A New Era and TRS19.,game,Trainz™ Simulator 12,N3V Games,N3V Games,false,Inglés<strong>*</strong>,No hay soporte para este tipo de idioma,Inglés<strong>*</strong>,true,false,false,8 JUN 2011,false,ARS,0,ARS 129.99,"ARS$ 129,99"
24800,"Red Alert 3: Uprising cuenta con cuatro minicampañas nuevas, permitiendo que los jugadores se adentren más en la historia de los soviéticos, los Aliados y el Imperio del Sol Naciente, e incluye una única campaña centrada en los orígenes del comando de colegialas japonesas preferido por todos: Yuriko Omega.",game,Command & Conquer: Red Alert 3 - Uprising,Electronic Arts,EA Los Angeles,false,"Inglés, Checo, Francés, Alemán, Húngaro, Italiano, Polaco, Ruso, Español de España",No hay soporte para este tipo de idioma,"Inglés, Checo, Francés, Alemán, Húngaro, Italiano, Polaco, Ruso, Español de España",true,false,false,6 OCT 2009,false,ARS,0,ARS 899.00,"ARS$ 899,00"
24780,"Consigue SimCity 4 y SimCity™ 4 Rush Hour en este práctico pack. Crea, haz crecer, y llena de vida tu entorno urbano ideal. Enfréntate a desastres tanto reales como fantásticos. Gobierna tu propia metrópolis virtual con SimCity 4.En SimCity 4 no te limitas a construir tu ciudad, sino que además le das vida.",game,SimCity™ 4 Deluxe Edition,"Electronic Arts, Aspyr (Mac)","EA - Maxis, Aspyr (Mac)",false,"Danés, Holandés, Inglés, Francés, Alemán, Italiano, Español de España, Sueco",No hay soporte para este tipo de idioma,"Danés, Holandés, Inglés, Francés, Alemán, Italiano, Español de España, Sueco",true,true,false,20 JUL 2010,false,ARS,0,ARS 899.00,"ARS$ 899,00"
24790,Es el año 2047. Una enorme bola de fuego estalla en el cielo nocturno señalando el dramático comienzo de la Tercera Guerra del Tiberio y el esperado regreso de la saga de estrategia en tiempo real más innovadora de todos los tiempos.,game,Command & Conquer 3: Tiberium Wars,Electronic Arts,EA Los Angeles,false,"Holandés, Inglés, Francés, Alemán, Italiano, Polaco, Ruso, Español de España, Sueco",No hay soporte para este tipo de idioma,"Holandés, Inglés, Francés, Alemán, Italiano, Polaco, Ruso, Español de España, Sueco",true,false,false,13 NOV 2009,false,ARS,0,ARS 699.00,"ARS$ 699,00"
24810,"¡En el nombre de Kane! La saga Command &amp; Conquer™ sigue creciendo con Command &amp; Conquer™ 3: Kane’s Wrath. Como pack de expansión del aclamado y favorito Command &amp; Conquer 3 Tiberium Wars™, este juego de estrategia en tiempo real (RTS) regresa al Universo del Tiberio con Kane en el centro de una nueva y épica campaña para un...",game,Command & Conquer 3: Kane's Wrath,Electronic Arts,EA Los Angeles,false,"Holandés, Inglés, Francés, Alemán, Italiano, Polaco, Ruso, Español de España, Sueco",No hay soporte para este tipo de idioma,"Holandés, Inglés, Francés, Alemán, Italiano, Polaco, Ruso, Español de España, Sueco",true,false,false,13 NOV 2009,false,ARS,0,ARS 699.00,"ARS$ 699,00"
24720,"Lleva a tu Criatura desde Cero hasta Héroe GalácticoSal de tu nave estelar y convierte a tus criaturas de Spore en legendarios Capitanes Espaciales. Por primera vez, forja alianzas y embárcate en aventuras cargadas de acción planetaria. Completa misiones, recoge recompensas e incluso crea tus propias misiones.",game,SPORE™ Galactic Adventures,Electronic Arts,EA - Maxis,false,"Inglés, Francés, Alemán, Italiano, Español de España, Holandés, Ruso, Polaco, Checo, Húngaro, Finés, Noruego, Sueco, Danés",No hay soporte para este tipo de idioma,"Inglés, Francés, Alemán, Italiano, Español de España, Holandés, Ruso, Polaco, Checo, Húngaro, Finés, Noruego, Sueco, Danés",true,false,false,26 JUN 2009,false,ARS,0,ARS 899.00,"ARS$ 899,00"
24679,The Shao Shan 4 (SS4 improved) electric locomotive is one of the most powerful DC electric locomotives in China. Manufacturing began in the mid 1980's and the locomotives are widely used throughout most of China's electrified railways to this day.,dlc,Trainz Simulator DLC: SS4 China Coal Heavy Haul Pack,N3V Games,N3V Games,false,Inglés<strong>*</strong>,No hay soporte para este tipo de idioma,Inglés<strong>*</strong>,true,false,false,4 DIC 2013,false,ARS,0,ARS 169.99,"ARS$ 169,99"
24870,"El premiado Need for Speed™ SHIFT es un auténtico juego de carreras que combina la experiencia real del conductor con una física realista, modelos de coches totalmente perfectos y una amplia variedad de pistas de carreras auténticas.",game,Need for Speed: Shift,Electronic Arts,Slightly Mad Studios,false,"Inglés, Francés, Alemán, Español de España, Italiano, Polaco, Ruso",No hay soporte para este tipo de idioma,"Inglés, Francés, Alemán, Español de España, Italiano, Polaco, Ruso",true,false,false,6 OCT 2009,false,,0,ARS 0.00,
25010,"Sigue a Turner, un conejo rebelde con unas impresionantes habilidades para el combate, en su búsqueda para localizar a los responsables de la matanza en su poblado. Descubre una conspiración a gran escala que envuelve a los corruptos líderes de la república de los conejos y a los lobos de las tierras cercanas.",game,Lugaru HD,Wolfire Games,Wolfire Games,false,Inglés,No hay soporte para este tipo de idioma,Inglés,true,true,true,8 OCT 2010,false,ARS,0,ARS 765.00,"ARS$ 765,00"
25000,"Feel like the star of a martial arts film in Overgrowth, as you jump, kick, throw, and slash your way to victory. Free the rabbits from their evil overlords in the main story, then play through the prequel story, and finally, try out nine years of mods developed by the community, or create your own!",game,Overgrowth,Wolfire Games,Wolfire Games,false,Inglés,No hay soporte para este tipo de idioma,Inglés,true,true,true,16 OCT 2017,false,ARS,0,ARS 1400.00,"ARS$ 1.400,00"
25500,"Cricket Revolution es un juego multijugador de cricket para PC. Con una mecánica de juego novedosa, modos de juego multijugador y un solo jugador, campeonatos locales y globales, y desafiantes oponentes controlados por un IA que aprende de cada una de tus jugadas, ¡Cricket Revolution proporciona una experiencia lúdica como ninguna otra!",game,Cricket Revolution,Mindstorm Studios,Mindstorm Studios,false,Inglés,No hay soporte para este tipo de idioma,Inglés,true,false,false,28 OCT 2009,false,,0,ARS 0.00,
37240,"En una visita a su ciudad natal, Flo y su Abuela Florence rememoran viejos tiempos. Lleva de nuevo a la vida a cinco restaurantes y conoce a nuevos clientes como el Hombre Hambriento y el Famoso. Ten especial cuidado con los clientes que tengan reservas y pon flores en las mesas para alegrar aún más las comidas.",game,Diner Dash:® Hometown Hero™,PlayFirst,PlayFirst,false,Inglés,No hay soporte para este tipo de idioma,Inglés,true,true,false,12 AGO 2009,false,,0,ARS 0.00,
37280,"Quinn ha regresado en una nueva y arrolladora aventura, junto con Flo&reg; y Joe Wright, el fotógrafo de bodas. Ayuda a Quinn a convertirse en el mejor organizador de bodas del mundo en la delirante secuela del éxito Wedding Dash&reg;.",game,Wedding Dash® 2: Rings Around the World,PlayFirst,Sarbakan,false,Inglés,No hay soporte para este tipo de idioma,Inglés,true,true,false,12 AGO 2009,false,,0,ARS 0.00,
37230,"¡Ha sido niña! ¡Y niño! De hecho, han sido todos los adorables bebés en DinerTown, todos ellos están preparados para recibir tus mimitos. Cuida a estos adorables angelitos de DinerTown y ayuda a Wilson, el pobre está desbordado atendiendo a su guardería.",game,Diaper Dash®,PlayFirst,Zemnott,false,Inglés,No hay soporte para este tipo de idioma,Inglés,true,true,false,12 AGO 2009,false,,0,ARS 0.00,
37000,"Only brought to life by scarce sparks of Color, the bleak, grey Void is a peculiar place. The player gets to explore it, get to know the Sisters, Brothers, and other weird creatures inhabiting it, and learn the ways of Color, harvesting it and drawing sigils that change the world around them.",game,The Void,Ice-Pick Lodge,Ice-Pick Lodge,false,"Inglés, Alemán, Polaco, Ruso<strong>*</strong>","Inglés, Alemán, Polaco","Inglés, Alemán, Polaco, Ruso<strong>*</strong>",true,false,false,15 DIC 2009,false,ARS,0,ARS 129.99,"ARS$ 129,99"
37210,"Viaja por todo el mundo en busca de ingredientes exóticos y sabrosos para personalizar tus propias creaciones de chocolate. ¡Podrás usar avances económicos y tecnológicos posteriores a la IIGM para personalizar tus propias creaciones de chocolate, ayudar a los Baumeister y esforzarte por llegar a ser el mandamás de tu propio imperio del...",game,Chocolatier®: Decadence by Design™,PlayFirst,"Big Splash Games, LLC",false,Inglés,No hay soporte para este tipo de idioma,Inglés,true,true,false,12 AGO 2009,false,,0,ARS 0.00,
37220,"Cuando Cookie el Chef abandona Flo's Diner para buscar una oportunidad en un conocido reality de TV sobre cocina, Cookie invita a todos los chef de DinerTown a salir en el programa cómo estrellas invitadas. Flo, con su abuela, ayuda a los cuatro restaurantes de DinerTown y ¡acaba en un set de Flo's Diner con Cookie en Hollywood!",game,Cooking Dash®,PlayFirst,Aliasworlds Entertainment,false,Inglés,No hay soporte para este tipo de idioma,Inglés,true,true,false,12 AGO 2009,false,,0,ARS 0.00,
37260,"¡Trabaja con la detective más astuta del mundo en el oscuro corazón de Emerald City de Oz! Como Petra, serás llevada a lo más profundo de los misterios que envolverán a nuevos enemigos y a caras conocidas; Scarecrow, Lion y Toto incluídos. ¡Esto es Oz como nunca antes lo habías visto!",game,Emerald City Confidential™,PlayFirst,Wadjet Eye Games,false,Inglés,No hay soporte para este tipo de idioma,Inglés,true,false,false,12 AGO 2009,false,,0,ARS 0.00,
37270,"¿Listo para una nueva aventura? Bienvenido a Wandering Willows&trade;, un maravilloso mundo lleno de una increíble vida salvaje y atractivas misiones. Con más de cuarenta encantadoras mascotas para tenerlas como amigas y entrenarlas, tienes la certeza de contar con la mejor ayuda a la hora de completar las misiones para los divertidos...",game,Wandering Willows™,PlayFirst,PlayFirst,false,Inglés,No hay soporte para este tipo de idioma,Inglés,true,true,false,12 AGO 2009,false,,0,ARS 0.00,
37330,"Nightshift Legacy te transporta a una aventura histórica repleta de romance e intriga con los héroes de Nightshift Code, Mike e Isabel. Deberás viajar desde las junglas de Guatemala hasta las calles de Moscú, desde el presente hasta el pasado durante la Guerra Civil Española, codo con codo junto a figuras históricas como Frida Kahlo y...",game,Nightshift Legacy: The Jaguar's Eye™,PlayFirst,PlayFirst,false,Inglés,No hay soporte para este tipo de idioma,Inglés,true,true,false,6 MAY 2010,false,,0,ARS 0.00,
37300,"La malvada cadena de comida rápida Grub Burger ha logrado colarse en DinerTown™ a base de sobornos y ahora amenaza con mandar a la quiebra a las cafeterías locales mediante precios muy bajos, sospechosas tácticas ¡y el misterioso Ingrediente X!",game,DinerTown Tycoon,PlayFirst,PlayFirst,false,Inglés,No hay soporte para este tipo de idioma,Inglés,true,true,false,30 SEP 2009,false,,0,ARS 0.00,
37380,"¡Asesinato, escándalo y tu primera gran oportunidad! Eres una joven aspirante a reportera, hambrienta por lograr tu primera exclusiva en el mundo del periodismo de 1920 dominado por los hombres. No estás dispuesta a conformarte con tu papel de secretaria, y pronto te encontrarás con un asesinato de primera plana, un escandaloso...",game,Valerie Porter and the Scarlet Scandal™,PlayFirst,PlayFirst,false,Inglés,No hay soporte para este tipo de idioma,Inglés,true,true,false,6 MAY 2010,false,,0,ARS 0.00,
